LossAfter,IRLMedianLogQtau,ExplainedVariance,IRLLoss,ItrTime,NumTrajs,AverageDiscountedReturn,LossBefore,AveragePolicyStd,IRLAverageExpertEnergy,IRLAverageEnergy,Time,MeanKLBefore,EnvExecTime,AverageReturn,Iteration,MaxReturn,OriginalTaskAverageReturn,IRLRewardMean,IRLRewardMax,Entropy,dLoss,Perplexity,IRLMedianExpertLogQtau,IRLAverageExpertLogQtau,PolicyExecTime,IRLRewardMin,MeanKL,StdReturn,IRLAverageLogQtau,MinReturn,ProcessExecTime
-0.0280600693076849,0.3132527,0.5883635192280436,0.43077347,0.6533083915710449,10,-74.64146202336241,0.005208236631006002,0.22969085,0.87983555,1.0655137,548.7318172454834,0.0,0.035594940185546875,-106.55136595070363,808,-64.24770238995552,-173.67193757519368,-1.0655137,-0.014047712,-0.052082296,0.0332683059386909,0.94925076,-2.5155928,-8.174732,0.04292702674865723,-4.5147576,0.009553722105920315,34.85583161212905,0.04099359,-197.01715123653412,0.005774974822998047
-0.0179213248193264,0.32316315,0.5899528855425706,0.42882657,0.6455175876617432,10,-72.98813724983404,0.0036045967135578394,0.23340398,0.87044203,1.0486579,549.3936221599579,0.0,0.03409910202026367,-104.86578725874423,809,-50.227383613586426,-138.32693466790977,-1.0486579,0.4321343,-0.036045905,0.02152592153288424,0.96459603,-2.4296055,-7.913237,0.04536604881286621,-4.781913,0.006430214736610651,53.777060400801005,0.0445154,-240.55963170528412,0.005797863006591797
-0.028097422793507576,0.298772,0.4956057219204625,0.43627778,0.6481542587280273,10,-64.24697529943096,0.0035244529135525227,0.2335911,0.7569581,0.9205304,550.0511720180511,0.0,0.03349494934082031,-92.05303598344327,810,-53.03692902624607,-134.41044667301435,-0.9205304,0.9459593,-0.035244465,0.0316218757070601,0.9653694,-2.4096985,-7.8759065,0.04185819625854492,-5.1827426,0.009982243180274963,45.25528288377132,0.052568663,-216.67997588217258,0.0064239501953125
-0.039691269397735596,0.31390768,0.719903121007911,0.44378835,0.6702773571014404,10,-78.35447751574017,0.0029381883796304464,0.23496458,0.8517096,1.0900612,550.730301618576,0.0,0.03656768798828125,-109.00611945986748,811,-63.23600745201111,-181.85943916097978,-1.0900612,0.8524033,-0.02938199,0.04262945777736604,0.97104543,-2.3924809,-7.7664914,0.045384883880615234,-4.498632,0.009696184657514095,29.181128780854092,0.02453777,-158.61848092079163,0.006041049957275391
-0.1787605732679367,0.28041852,0.8123895961924028,0.44720435,0.6719133853912354,10,-68.04599733517654,0.0014072940684854984,0.2385893,0.8342374,0.9438981,551.4094529151917,0.0,0.034966230392456055,-94.38980800807477,812,-66.13282003998756,-147.61950005071003,-0.9438981,0.69361186,-0.014073014,0.1801678673364222,0.9860256,-2.3126707,-7.536416,0.04329705238342285,-4.2206593,0.009787078946828842,12.663993156041931,0.011263125,-113.3184843659401,0.005995035171508789
-0.027717147022485733,0.28738764,0.9013722813334268,0.43733218,0.6627070903778076,10,-74.94287580320594,0.0005514516960829496,0.2406401,0.9218906,1.0292505,552.0821590423584,0.0,0.03561091423034668,-102.92504884004593,813,-63.975467532873154,-171.51752556801043,-1.0292505,0.29496294,-0.0055145025,0.028268598718568683,0.9945007,-2.274106,-7.3642025,0.042899131774902344,-5.1083922,0.006780677475035191,16.95395319136913,0.039997283,-131.8031867146492,0.0059282779693603516
-0.025953369215130806,0.2665792,0.7967742637342339,0.4476148,0.6756908893585205,10,-72.37062052749924,-0.000246220180997625,0.24256724,0.865605,0.9931684,552.772586107254,0.0,0.03367900848388672,-99.3168418765068,814,-56.946685433387756,-155.73479009605074,-0.9931684,0.9322697,0.0024621487,0.02570714903413318,1.0024651,-2.2427669,-7.2261286,0.04243278503417969,-5.1774726,0.006479112431406975,24.190907966482744,-0.02592248,-138.24955761432648,0.005892276763916016
-0.025352388620376587,0.28373778,0.728250183417555,0.443843,0.6380031108856201,10,-71.23178135372878,0.00013969677092973143,0.24163292,0.9493478,1.0292622,553.4169025421143,0.0,0.03411531448364258,-102.92622199654579,815,-66.88157325983047,-134.49458141688666,-1.0292622,0.49140474,-0.0013970137,0.02549208539130632,0.99860394,-2.2613542,-7.3124523,0.04405570030212402,-5.2091436,0.006415498908609152,31.905669486985225,0.01800252,-188.00061538815498,0.005820274353027344
-0.027534814551472664,0.24687366,0.8339868891967541,0.44524583,0.7734434604644775,10,-81.73233301208936,-0.0009824924636632204,0.24435976,0.8414628,1.0967969,554.1984186172485,0.0,0.03561115264892578,-109.6796833217144,816,-72.21865543723106,-184.54008134344502,-1.0967969,0.23147276,0.009824872,0.026552322087809443,1.0098733,-2.21526,-7.1355624,0.04606175422668457,-5.58636,0.009854000061750412,17.633518359481958,-0.028767211,-140.00097477436066,0.005944013595581055
-0.025482909753918648,0.2819984,0.8908382196333031,0.44901797,0.7009468078613281,10,-72.14462902167875,-3.041791933355853e-05,0.24204439,0.8968847,1.0011355,554.9095370769501,0.0,0.03270554542541504,-100.1135500729084,817,-57.03651747107506,-158.66513198328352,-1.0011355,0.2845996,0.0003042221,0.02545249183458509,1.0003042,-2.2687428,-7.263923,0.04115033149719238,-4.835626,0.0066057960502803326,20.692062900209944,0.0044316617,-121.61813193559647,0.0060002803802490234
