IRLMedianExpertLogQtau,AveragePolicyStd,PolicyExecTime,IRLRewardMin,StdReturn,Time,Iteration,IRLAverageExpertEnergy,dLoss,MeanKL,Entropy,IRLAverageExpertLogQtau,MinReturn,IRLMedianLogQtau,IRLAverageEnergy,IRLLoss,IRLAverageLogQtau,Perplexity,ItrTime,MaxReturn,IRLRewardMean,OriginalTaskAverageReturn,AverageDiscountedReturn,NumTrajs,LossAfter,ExplainedVariance,MeanKLBefore,LossBefore,EnvExecTime,ProcessExecTime,IRLRewardMax,AverageReturn
-0.69047105,0.4545132,0.044243812561035156,-4.8072877,27.926737370194402,46.25772190093994,175,0.95700115,0.026877202093601227,0.009865650907158852,0.6304103,-2.2406077,-196.39313472807407,-0.39957833,1.2765505,0.5803056,-0.668427,1.8783811,0.2525603771209717,-99.37846107780933,-1.2765505,-178.88990983398833,-93.76663015502568,10,-0.08991824090480804,0.8217546827061257,0.0,-0.06304103881120682,0.036278486251831055,0.005933284759521484,0.4678055,-127.65506199225783
-0.69692236,0.44097617,0.04199099540710449,-4.5308967,47.877271869116775,46.522642612457275,176,0.88896394,0.03137354180216789,0.006952703930437565,0.6001743,-2.3009264,-194.4723760485649,-0.33104736,1.2152408,0.5666153,-0.6043556,1.8224365,0.2548656463623047,-48.563491493463516,-1.2152408,-167.44596466418568,-88.23058662852387,10,-0.09139097481966019,0.7526833855005971,0.0,-0.060017433017492294,0.03409624099731445,0.006032228469848633,0.5075647,-121.52409392148256
-0.69958544,0.43106842,0.0393519401550293,-4.122938,22.417122221452804,46.79473328590393,177,1.0839713,0.02457953244447708,0.007900901138782501,0.5774501,-2.353914,-148.22346763312817,-0.2850895,1.107782,0.6047706,-0.5867944,1.78149,0.26065897941589355,-78.87959913909435,-1.107782,-109.76146884773111,-76.53084550889844,10,-0.08232452720403671,0.7795428491594377,0.0,-0.05774499475955963,0.03231525421142578,0.005575656890869141,0.6167206,-110.77818981558084
-0.7134049,0.421236,0.04084372520446777,-5.137084,46.73085940789984,47.02912521362305,178,0.92773163,0.035530898720026016,0.009696588851511478,0.5543765,-2.4691467,-212.65967671573162,-0.2673862,1.3156954,0.55628055,-0.56945175,1.7408552,0.22848081588745117,-65.8587778955698,-1.3156954,-196.8335668370909,-95.4826120043004,10,-0.09096851944923401,0.6257170498481894,0.0,-0.05543762072920799,0.032769203186035156,0.006113529205322266,0.42081517,-131.5695396438241
-0.7114813,0.42247212,0.045253753662109375,-5.2325583,54.17329046810734,47.277963161468506,179,0.8514736,0.028137732297182083,0.00653072539716959,0.55730677,-2.445265,-223.90759859979153,-0.26862288,1.2227488,0.56090426,-0.5516815,1.7459639,0.24013328552246094,-47.24219834804535,-1.2227488,-175.62675508162334,-88.8736546645344,10,-0.08386839181184769,0.6967558615849647,0.0,-0.055730659514665604,0.03742051124572754,0.005935192108154297,1.0187684,-122.27488196641207
-0.7181455,0.4150182,0.04498767852783203,-4.4818077,36.64895289616918,47.52496027946472,180,0.95002204,0.03317208215594292,0.0065307049080729485,0.53950584,-2.5069187,-177.14992415905,-0.25811815,1.1613451,0.5606078,-0.5279481,1.715159,0.23888611793518066,-55.06216415762901,-1.1613451,-153.01244712195938,-83.71110735246691,10,-0.08712264895439148,0.9268717633313014,0.0,-0.05395056679844856,0.03552675247192383,0.005899906158447266,1.1685613,-116.13451147079468
-0.72048044,0.4184943,0.048621416091918945,-5.148164,45.961529223189245,47.77689242362976,181,0.7797453,0.01516108587384224,0.007186253555119038,0.54784685,-2.5150275,-183.78964713215828,-0.26596397,1.1246996,0.5587053,-0.5387665,1.7295251,0.24235177040100098,-44.01894657313824,-1.1246996,-157.22704118717297,-84.22216245938128,10,-0.06994576752185822,0.8693247622819928,0.0,-0.054784681648015976,0.033571481704711914,0.006133317947387695,0.66610587,-112.46996605992317
-0.74332935,0.40093952,0.04566025733947754,-4.298403,42.14230133486778,48.033077001571655,182,0.9889069,0.030490387231111526,0.006398779805749655,0.5049939,-2.739114,-208.90305069088936,-0.24737847,1.1348511,0.58617127,-0.5344187,1.6569754,0.24789690971374512,-52.68136648833752,-1.1348511,-155.60809954726577,-81.30152633821795,10,-0.0809897854924202,0.8931103815844001,0.0,-0.05049939826130867,0.03531980514526367,0.005772113800048828,0.9117836,-113.48510822802783
-0.75311685,0.39040077,0.04837489128112793,-5.2515717,47.73048978425019,48.287755727767944,183,0.8198173,0.021044451743364334,0.006821195594966412,0.47835693,-2.87159,-185.65757332742214,-0.20195806,1.0859993,0.55071074,-0.44934022,1.6134212,0.24653983116149902,-38.9644101113081,-1.0859993,-178.53199682001605,-79.26110138493951,10,-0.06888014823198318,0.8350985364916516,0.0,-0.04783569648861885,0.03720521926879883,0.006990194320678711,1.2657354,-108.59992444887757
-0.76844215,0.38378003,0.04746532440185547,-4.4747825,29.81221303629593,48.55747890472412,184,0.87076145,0.0579390823841095,0.006482794880867004,0.4612528,-2.9601316,-156.59533686935902,-0.19287911,1.0464052,0.5485835,-0.4337616,1.5860598,0.2618992328643799,-50.06590089201927,-1.0464052,-152.24923212467618,-75.72600883989305,10,-0.10406436026096344,0.8451375743960724,0.0,-0.04612527787685394,0.03418755531311035,0.0065822601318359375,0.46132916,-104.6405107408762
-0.7551336,0.39155278,0.04178619384765625,-5.349337,51.48104500549509,48.79824876785278,185,0.68122834,0.03817161172628403,0.00963527150452137,0.48130333,-2.8138766,-173.37297776341438,-0.2335192,1.0575075,0.5501223,-0.518347,1.6181821,0.23132848739624023,-27.6489896774292,-1.0575075,-190.54779192201164,-78.7488834071184,10,-0.08630193769931793,0.825444749946697,0.0,-0.048130325973033905,0.03215193748474121,0.005867481231689453,0.9969479,-105.75075429081917
-0.75152755,0.3918219,0.04454851150512695,-5.118782,24.952196232143628,49.064871072769165,186,0.8515787,0.027286596596240997,0.009994271211326122,0.4819907,-2.8361757,-158.55039340257645,-0.19503874,1.1633164,0.54497874,-0.46544972,1.6192948,0.2575807571411133,-77.75399087369442,-1.1633164,-190.652552271881,-87.22572835815518,10,-0.07548566162586212,0.9009133725928895,0.0,-0.048199065029621124,0.03502178192138672,0.005956888198852539,0.37310186,-116.3316408701241
-0.75011694,0.39383122,0.04226183891296387,-4.833748,45.40484459824755,49.29746961593628,187,0.9503062,0.029700368642807007,0.009729735553264618,0.48710546,-2.8680966,-210.7525175511837,-0.25819874,1.2204912,0.5674031,-0.55111605,1.6275983,0.2245652675628662,-53.6330895870924,-1.2204912,-181.59767424214488,-89.56598635101071,10,-0.07841093093156815,0.8783490588550736,0.0,-0.04871056228876114,0.03208160400390625,0.00622868537902832,0.7800736,-122.049121889472
-0.74361223,0.3998112,0.04387307167053223,-5.0294023,19.04816279266959,49.553441286087036,188,0.8566896,0.021640334278345108,0.006865937262773514,0.5021754,-2.8226404,-137.14868296682835,-0.23662364,1.0617466,0.56528574,-0.48214826,1.6523118,0.24710917472839355,-79.2008591145277,-1.0617466,-155.6523043088658,-80.96774233256454,10,-0.07185787707567215,0.6606713116263128,0.0,-0.05021754279732704,0.035675764083862305,0.005892515182495117,0.7008662,-106.17464947104455
