MeanKL,AbsLearnSignal,dLoss,Perplexity,OriginalTaskAverageReturn,Entropy,StdReturn,LossBefore,ExplainedVariance,AverageDiscountedReturn,AveragePolicyStd,EnvExecTime,PolicyExecTime,ItrTime,MaxReturn,LossAfter,ProcessExecTime,MinReturn,Time,Iteration,IRLLoss,AverageReturn,NumTrajs,MeanKLBefore
0.0065038153,0.7866674495668887,0.02179154,5.6191845,13.994264913629376,1.7261865,111.16318811454245,-1.5750196e-08,0.6313934828540964,-401.6691664933392,0.5755051,323.99170303344727,1.3383798599243164,330.6882178783417,-373.4027510583401,-0.021791555,0.030438661575317383,-768.9920566529036,27573.921694993973,82,0.17006488,-533.3088805000086,22,0.0
0.008399132,0.7930028957894932,0.021753695,5.5498476,14.774753346965172,1.7137705,101.60335693249591,-1.6086073e-08,0.6477011547527594,-392.82120383714806,0.5720514,329.8585534095764,1.2722811698913574,336.42118763923645,-377.8789137378335,-0.021753712,0.031702518463134766,-693.6716542690992,27910.34705233574,83,0.18873985,-524.4464505790437,22,0.0
0.009594576,0.8095657349345021,0.02599676,5.4469566,15.113895992193228,1.695057,81.8887272339058,6.0937655e-09,0.8021733098419739,-489.9180446004542,0.566757,332.61972403526306,1.3171086311340332,339.19031047821045,-474.0463421717286,-0.025996754,0.032141685485839844,-805.6382615566254,28249.541440725327,84,0.1583198,-651.6226454692131,22,0.0
0.009170205,0.8190443561840689,0.026882522,5.323712,14.898542715229599,1.6721708,91.2812352696483,7.629395e-09,0.6525937236249562,-385.83214363070624,0.56058925,331.6632776260376,1.2991344928741455,338.15543150901794,-386.63029034039937,-0.026882514,0.03250312805175781,-696.8725525662303,28587.702392816544,85,0.15844642,-518.9351695565936,22,0.0
0.0090333335,0.8237125578748573,0.027260924,5.288298,14.478623408103648,1.6654965,75.68516791156178,1.7016086e-08,0.7895854387947063,-399.3496228954369,0.55871886,329.1822316646576,1.3034822940826416,335.75964975357056,-408.15953021496534,-0.027260907,0.03271818161010742,-688.8968209698796,28923.466809034348,86,0.17815438,-537.6640049840154,22,0.0
0.00673256,0.41513608949494846,0.05763802,5.269422,13.881269465555267,1.6619207,74.30915859009401,1.5815494e-09,-0.2836379116577521,-398.48375807349345,0.55759996,321.9771044254303,1.2433090209960938,328.38886737823486,-401.58489229902625,-0.05763802,0.03067755699157715,-695.5438753180206,29251.85951900482,87,0.17609748,-529.6910841426368,22,0.0
0.00879115,0.7569141477476049,0.02644045,5.2706723,14.493924698651368,1.6621579,101.53550896066189,-3.1039034e-09,0.7600230759394728,-400.0270273677206,0.5577354,324.6166527271271,1.2528140544891357,331.0894627571106,-340.62618713080883,-0.026440455,0.03076028823852539,-836.7178084254265,29582.953504562378,88,0.16558336,-531.6325970933857,22,0.0
0.009608585,0.7829292285481189,0.024831867,5.185126,13.921420369831687,1.6457942,61.74739029840314,4.7407176e-09,0.8418335872535141,-403.42645008721735,0.55324817,321.94135570526123,1.2084178924560547,328.299569606781,-439.9822435993701,-0.024831861,0.029929161071777344,-641.1223277170211,29911.2569565773,89,0.16794784,-531.9589999676259,22,0.0
0.007737971,0.7914182266106022,0.019940559,5.137605,13.802743529178754,1.636587,68.64551537837858,-0.0,0.8152661536686628,-399.7325277385234,0.5506014,321.35554599761963,1.2457191944122314,327.93952107429504,-375.91532818973064,-0.019940559,0.03037095069885254,-661.848601680249,30239.20337677002,90,0.19454288,-524.988545529121,22,0.0
0.009923728,0.8039767100677994,0.025689594,5.1403356,14.37440211953364,1.6371183,74.3441593054822,-1.3213092e-08,0.8214251997527435,-386.8717986298723,0.5506425,324.632390499115,1.2469830513000488,331.2095320224762,-385.9027507835999,-0.025689607,0.03067755699157715,-644.7694808281958,30570.419023513794,91,0.19783035,-516.5343288682528,22,0.0
0.006883705,0.7655405907723347,0.02729831,4.9874744,14.5199956828217,1.6069297,93.39584043188643,-0.0,0.6047403662960134,-314.95522190152184,0.5421872,324.7703444957733,1.27455472946167,331.4035928249359,-214.24485970730893,-0.02729831,0.031219005584716797,-688.224093452096,30901.828932523727,92,0.1877868,-421.01127445358594,22,0.0
0.00952991,0.8410959902109941,0.03266949,4.91969,15.235465010710838,1.5932455,99.32578921047156,2.3289232e-08,0.6096408492777909,-397.71892746281475,0.53854847,313.9050672054291,1.228586196899414,320.38765048980713,-349.93777269124985,-0.032669466,0.02927684783935547,-799.1070465445518,31222.220645427704,93,0.19201046,-536.7132433541562,21,0.0
0.008831824,0.8251191471772708,0.024368992,4.868656,13.672987002494647,1.5828179,106.70669021372596,-1.2621e-08,0.6923327279250436,-478.44525676041485,0.5355256,316.88770842552185,1.2326486110687256,323.2553822994232,-469.4981558024883,-0.024369005,0.029010295867919922,-848.4223104715347,31545.481895685196,94,0.20159376,-636.2714448422194,22,0.0
0.009122623,0.8305852599499903,0.025156746,4.814731,15.29403394780691,1.5716802,97.30291396671728,-1.2683948e-08,0.7775389631939134,-439.48069858473,0.53254,310.02645802497864,1.258523941040039,316.4965136051178,-405.69005934521556,-0.025156759,0.02935194969177246,-738.5752721317112,31861.982591867447,95,0.19075897,-585.9704863444148,21,0.0
0.0082985815,0.8149131129763305,0.018758368,4.745924,14.422277700933456,1.5572861,93.09166548095422,-1.3213092e-08,0.39707763269793184,-352.4030378938604,0.5285455,320.2408366203308,1.2920494079589844,326.81874346733093,-302.7650803029537,-0.01875838,0.02987837791442871,-630.1555524244905,32188.80512046814,96,0.19956097,-472.5963576152095,22,0.0
0.009463845,0.8056085584972,0.02625649,4.707582,14.697742381578378,1.5491744,89.6234402696015,1.8473111e-08,0.7162315016229295,-461.55923967329994,0.52646005,327.2556574344635,1.3397397994995117,333.90029096603394,-481.8935970515013,-0.026256472,0.030244827270507812,-774.4963278770447,32522.709521770477,97,0.17837709,-611.128277128647,22,0.0
0.009288575,0.7679776917367426,0.023411324,4.657761,14.270237994343587,1.5385349,80.23680063482726,-1.2476524e-08,0.7005096299804248,-387.7608198468117,0.5235655,328.8512713909149,2.152869939804077,336.46152806282043,-395.56275435723364,-0.023411337,0.03205561637878418,-726.4100443609059,32859.17717051506,98,0.16425185,-519.5849878880491,22,0.0
0.0068415934,0.8053585369719013,0.018048607,4.498906,15.46502486476489,1.5038342,69.89471792822128,-1.8915854e-08,0.8639004049335673,-414.13347421053766,0.5145044,320.47123074531555,1.8687646389007568,327.59014654159546,-467.73739632964134,-0.018048625,0.03155827522277832,-712.419471770525,33186.77309465408,99,0.24530259,-550.3512615298941,21,0.0
0.009545277,0.8098355510203352,0.021344941,4.4385757,14.505580542266609,1.4903336,90.79246568986792,-6.1726495e-09,0.7354905164786396,-392.97292134013844,0.5112954,330.06573247909546,1.9293060302734375,337.3791148662567,-374.6475928099826,-0.021344947,0.03178906440734863,-691.0870464295149,33524.15721654892,100,0.16772284,-527.4513093307191,22,0.0
0.006564823,0.796053465511138,0.025131766,4.3602705,15.418882277723423,1.4725341,67.92898857770236,9.481435e-09,0.6371621150886809,-324.15160712962535,0.50684613,319.3030352592468,1.7205257415771484,326.3010149002075,-321.4514506175183,-0.025131756,0.031069517135620117,-561.6510286293924,33850.46508383751,101,0.21140788,-442.37733222834675,21,0.0
0.007589749,0.7724868016629926,0.02196154,4.331452,14.674118931091625,1.4659028,80.48858016381438,1.23154065e-08,0.7184364133789871,-346.50191268128077,0.5051078,328.3086688518524,1.6609866619110107,335.27417635917664,-357.52476237528026,-0.021961527,0.03116583824157715,-662.9127562576905,34185.7435259819,102,0.16337362,-463.5846103188497,22,0.0
0.00850347,0.808487119087354,0.023206854,4.275344,14.173848247384296,1.4528645,72.36305519329112,-2.8280292e-08,0.762790698565921,-378.6789506122341,0.50181156,323.11720037460327,1.654778242111206,330.0263514518738,-371.9941852129996,-0.023206882,0.030283451080322266,-622.6839663553983,34515.77370119095,103,0.1856635,-501.2487111576748,22,0.0
0.00659588,0.7988401438220997,0.018485947,4.191578,15.393089315398555,1.4330772,71.42528359979633,-0.0,0.8457516578460087,-399.1299539496587,0.4967513,331.90173268318176,1.7337148189544678,338.9327139854431,-383.6846041381359,-0.018485947,0.03151988983154297,-652.0280942209065,34854.71380114555,104,0.20400351,-536.1515933270143,22,0.0
0.006744909,0.8153482130806134,0.019887919,4.091075,14.508333596355152,1.4088078,90.46507954898212,7.690922e-09,0.6720926805313865,-360.8020940124468,0.49083567,328.5263366699219,1.665149450302124,335.44907569885254,-341.9289616420865,-0.019887911,0.03145790100097656,-705.6798461079597,35190.16830039024,105,0.17892379,-490.6981989441609,22,0.0
