Iteration,IRLRewardMax,EnvExecTime,ProcessExecTime,AbsLearnSignal,LossBefore,MeanKLBefore,MeanKL,Time,IRLMedianLogQtau,IRLAverageExpertEnergy,AveragePolicyStd,ExplainedVariance,AverageReturn,Entropy,AverageDiscountedReturn,IRLAverageLogQtau,Perplexity,MinReturn,IRLAverageExpertLogQtau,LossAfter,OriginalTaskAverageReturn,IRLAverageEnergy,StdReturn,dLoss,IRLRewardMean,PolicyExecTime,IRLLoss,MaxReturn,IRLRewardMin,ItrTime,IRLMedianExpertLogQtau,NumTrajs
20,1.4484792,0.03112196922302246,0.005916595458984375,0.8566148557836467,-0.1360487,0.0,0.0070810146,29.969858407974243,-1.0595062,0.48084804,0.943224,0.7999354959722078,-256.6343958333135,1.360487,-162.92429596299354,-1.3187237,3.898091,-352.1160765886307,-1.8470427,-0.14931434,-545.5649427752849,2.566344,50.78500564858313,0.01326564,-2.566344,0.0776216983795166,0.4579512,-169.98870480060577,-5.6902595,1.3660626411437988,-1.2711079,10
21,2.0461893,0.026856184005737305,0.005092144012451172,0.7796234257766476,-0.13469206,0.0,0.0077481875,31.315455675125122,-1.0785522,0.046064142,0.9305143,0.8927829206390697,-257.0673648864031,1.3469201,-165.23158477887577,-1.3640735,3.8455634,-364.56897163391113,-1.8258442,-0.15152948,-586.9868563708374,2.570674,52.23681126330592,0.016837418,-2.570674,0.05457735061645508,0.4213434,-201.5074235573411,-5.609333,1.3394391536712646,-1.2438514,10
22,1.1965072,0.02642369270324707,0.004846096038818359,0.7986476222842999,-0.13216811,0.0,0.008368961,32.67442440986633,-1.0859714,0.38633016,0.90732217,0.9289552099536661,-257.28460462391376,1.3216811,-168.0891269208333,-1.3444512,3.7497199,-337.44288647174835,-1.8201301,-0.14431007,-560.5375110320532,2.5728462,51.79067822548401,0.012141958,-2.5728462,0.053243398666381836,0.4274499,-182.70271372050047,-5.4646125,1.3532421588897705,-1.2178535,10
23,1.2418609,0.025049686431884766,0.00537872314453125,0.8754105539835003,-0.13077092,0.0,0.008747377,34.042099475860596,-1.0396879,0.19406766,0.89473337,0.7801097608344587,-267.7370387881994,1.3077089,-170.16070573267478,-1.3119873,3.6976922,-328.9637485742569,-1.8799001,-0.1471769,-547.587191189609,2.6773703,43.642445980041366,0.016405985,-2.6773703,0.05126523971557617,0.40641433,-183.82065933942795,-6.581464,1.3619134426116943,-1.2430165,10
24,2.577163,0.02615213394165039,0.00537109375,0.6395870253442849,-0.13201742,0.0,0.0069718296,35.45851922035217,-1.0836265,-0.28417546,0.90595615,0.8207098779926435,-247.0266281232238,1.320174,-157.54888467077035,-1.3256258,3.7440727,-366.1303346157074,-1.8250481,-0.15732661,-598.4728832057012,2.4702663,54.937943113274734,0.02530919,-2.4702663,0.053582191467285156,0.4140609,-150.77974854409695,-4.873519,1.408782720565796,-1.2155933,10
25,2.1131563,0.02710556983947754,0.00641179084777832,0.7579947784545371,-0.1319542,0.0,0.006420006,36.848174810409546,-1.0464579,-0.2356927,0.90538377,0.8704524524369048,-248.1920390561223,1.319542,-160.65195549210802,-1.3229414,3.7417076,-349.2714853286743,-1.7494324,-0.14466864,-598.7901596201672,2.4819205,54.19573028532297,0.012714446,-2.4819205,0.05189824104309082,0.40388906,-192.1236662864685,-5.228067,1.3842532634735107,-1.1822864,10
26,1.3169246,0.027495861053466797,0.005142688751220703,0.8284047298968994,-0.1277327,0.0,0.006276033,38.20012664794922,-1.0152476,-0.14917119,0.8679581,0.6764476688256651,-256.655515563488,1.2773268,-162.0250564686247,-1.2951378,3.587038,-303.56495451927185,-1.7770487,-0.13839823,-558.1806078583764,2.5665553,54.35823757877142,0.010665536,-2.5665553,0.05633878707885742,0.41490728,-146.6046083420515,-5.225725,1.3452274799346924,-1.1687117,10
27,2.4282885,0.02704143524169922,0.0057828426361083984,0.763571370356794,-0.1271503,0.0,0.0065254183,39.55603265762329,-1.0101554,0.024507307,0.86291784,0.674176543355873,-235.74542913362384,1.2715029,-154.46725866434298,-1.3175484,3.5662081,-363.70034670829773,-1.7891726,-0.14843304,-565.03131975722,2.3574543,59.12798450325072,0.021282747,-2.3574543,0.05267906188964844,0.43707666,-147.73249603807926,-6.1297,1.3499517440795898,-1.1721356,10
28,2.3685303,0.02925395965576172,0.0052890777587890625,0.7757272071936402,-0.12811121,0.0,0.008562093,40.92473578453064,-0.99221385,-0.21312428,0.87124985,0.9460085683732271,-254.63900397717953,1.281112,-166.50415360271467,-1.2590024,3.6006413,-328.8434661626816,-1.8053169,-0.14007717,-582.3626748241338,2.5463898,57.3286270617937,0.01196596,-2.5463898,0.06748437881469727,0.39859623,-145.57493740320206,-5.1403165,1.3611907958984375,-1.1908705,10
29,2.075333,0.025748491287231445,0.00520634651184082,0.7963735900602688,-0.12540078,0.0,0.008417414,42.29461050033569,-1.0110447,0.23329024,0.8479521,0.8835071888791762,-252.6519590497017,1.2540075,-165.15146587807425,-1.2657244,3.5043585,-297.3496390879154,-1.9007332,-0.14388308,-537.2975021755805,2.5265195,24.616269972963273,0.018482298,-2.5265195,0.05445694923400879,0.44579616,-203.8613337278366,-5.1137733,1.3647174835205078,-1.2240689,10
