AverageDiscountedReturn,AveragePolicyStd,AbsLearnSignal,Time,Perplexity,MeanKLBefore,Entropy,AverageReturn,StdReturn,Iteration,LossAfter,LossBefore,dLoss,ProcessExecTime,PolicyExecTime,EnvExecTime,ExplainedVariance,OriginalTaskAverageReturn,NumTrajs,MinReturn,IRLLoss,MeanKL,MaxReturn,ItrTime
-575.6772923381064,1.0122174,nan,1126.7964506149292,17.492918,0.0,2.8617961,-820.7985221743584,0.0,55,nan,nan,nan,0.0016028881072998047,0.10165739059448242,12.715632677078247,nan,7.503566399757831,1,-820.7985221743584,0.060225185,0.0,-820.7985221743584,17.913291692733765
-417.10496986992956,1.0122174,0.8728733653992945,1144.7126364707947,17.492918,0.0,2.8617961,-618.0623112916946,0.0,56,-0.07383995,3.1789146e-08,0.07383998,0.0015795230865478516,0.10579109191894531,12.766652345657349,-0.42381773575012804,9.478842512431527,1,-618.0623112916946,0.102878764,0.007944462,-618.0623112916946,17.91215229034424
nan,1.0090247,nan,1162.5805535316467,17.378319,0.0,2.8552234,nan,nan,57,nan,nan,nan,0.0016207695007324219,0.10071539878845215,12.636781930923462,nan,nan,1,nan,0.019523716,0.0,nan,17.86388087272644
-358.46522494436357,1.0090247,nan,1180.745061635971,17.378319,0.0,2.8552234,-508.3960518836975,0.0,58,nan,nan,nan,0.0016040802001953125,0.10693788528442383,12.837707996368408,nan,10.242447944085754,1,-508.3960518836975,0.107433364,0.0,-508.3960518836975,18.160204648971558
-196.9409649579979,1.0090247,0.8976809795412601,1199.0567417144775,17.378319,0.0,2.8552234,-282.8816088438034,0.0,59,-0.03158455,-3.1789146e-08,0.031584516,0.0015668869018554688,0.11488652229309082,13.150073766708374,-1.3329441564497677,13.704248864496009,1,-282.8816088438034,0.15730652,0.005930329,-282.8816088438034,18.307471990585327
-449.1989864061476,1.0000352,0.8453065505752994,1216.8257772922516,17.074142,0.0,2.8375652,-657.618638664484,0.0,60,-0.094042495,-3.1789146e-08,0.094042465,0.001619100570678711,0.10372614860534668,12.628895998001099,-6.264077134598094,9.45345422924836,1,-657.618638664484,0.17290312,0.009253935,-657.618638664484,17.764572858810425
-219.75989720450428,0.9920826,0.8396341264158774,1234.947299003601,16.810053,0.0,2.8219771,-320.70530277490616,0.0,61,-0.10241769,-6.357829e-08,0.102417625,0.0015773773193359375,0.10670208930969238,12.93925428390503,-1.000074140881647,13.89999253988339,1,-320.70530277490616,0.25791106,0.00940154,-320.70530277490616,18.11575174331665
-331.9907543679581,1.0154952,0.8699193798318756,1253.1864652633667,17.612875,0.0,2.8686302,-472.1836392879486,0.0,62,-0.067367174,-6.357829e-08,0.06736711,0.0017061233520507812,0.10284042358398438,12.8997163772583,-1.7237344023736685,12.260517398284787,1,-472.1836392879486,0.14536649,0.0067877523,-472.1836392879486,18.234869480133057
-229.43108572170993,1.0284524,0.9280298216201724,1271.3612730503082,18.063972,0.0,2.8939195,-341.05299574136734,0.0,63,-0.075580135,-1.5894573e-08,0.07558012,0.001537322998046875,0.10930466651916504,12.895718574523926,-0.11318548430165198,11.180245904660149,1,-341.05299574136734,0.4189316,0.005825605,-341.05299574136734,18.168562650680542
-278.7689683428658,1.0405772,0.768250915213946,1289.5071773529053,18.493431,0.0,2.9174156,-408.84892761707306,0.0,64,-0.067186706,-0.0,0.067186706,0.0016922950744628906,0.10750150680541992,12.930967569351196,-1.2595006977122947,11.326979636833144,1,-408.84892761707306,0.13545169,0.005534494,-408.84892761707306,18.142043590545654
