IRLMedianLogQtau,ExplainedVariance,OriginalTaskAverageReturn,ProcessExecTime,EnvExecTime,AveragePolicyStd,Entropy,Perplexity,IRLAverageEnergy,IRLRewardMean,IRLAverageLogQtau,NumTrajs,IRLRewardMin,IRLLoss,LossAfter,PolicyExecTime,Iteration,IRLMedianExpertLogQtau,MaxReturn,Time,StdReturn,LossBefore,MeanKLBefore,AverageReturn,MeanKL,IRLAverageExpertEnergy,MinReturn,IRLAverageExpertLogQtau,ItrTime,dLoss,IRLRewardMax,AverageDiscountedReturn
-1.0846999,0.9065676266916781,-625.6402629293963,0.0055675506591796875,0.032729148864746094,0.95408535,1.3719362,3.9429777,4.0129447,-4.0129447,-1.3345346,10,-7.440558,0.1967568,-0.15346457064151764,0.04050278663635254,34,-1.1051209,-286.16828405857086,11.310302972793579,54.619741763912394,-0.13719365000724792,0.0,-401.29445417523385,0.00954038929194212,-1.7075592,-480.687349319458,-1.5329648,0.2893674373626709,0.016270920634269714,3.1213021,-247.7091571838983
-1.0700959,0.9644290929486493,-641.6150563493952,0.0056133270263671875,0.03373312950134277,0.94621253,1.3636498,3.9104397,4.1614366,-4.1614366,-1.3244599,10,-7.8780684,0.16186628,-0.14800868928432465,0.0473628044128418,35,-1.1475732,-347.9024085998535,11.610974550247192,42.93770844257011,-0.13636502623558044,0.0,-416.14367006123064,0.009286844171583652,-2.7482736,-464.6627345085144,-1.6029023,0.2926149368286133,0.011643663048744202,2.0657232,-258.40203130396594
-1.0810983,0.9584751787979034,-577.1967388779179,0.005647182464599609,0.03487420082092285,0.94194406,1.359129,3.892801,4.156674,-4.156674,-1.3490139,10,-7.679086,0.19758177,-0.1540663093328476,0.0437777042388916,36,-1.2555747,-362.10768389701843,11.897432804107666,45.54248964503254,-0.1359129101037979,0.0,-415.66739676594733,0.009215966798365116,-2.250566,-522.3697783946991,-1.7404473,0.2772066593170166,0.018153399229049683,3.9330406,-252.6155461287113
-1.0730323,0.948888935240191,-611.0743651432571,0.0057337284088134766,0.03735971450805664,0.93814284,1.3550856,3.8770928,4.1892734,-4.1892734,-1.3135183,10,-8.403877,0.1616627,-0.15195682644844055,0.04341936111450195,37,-1.2544909,-331.09568896889687,12.19784140586853,50.273536895494566,-0.13550856709480286,0.0,-418.9273324344307,0.009179914370179176,-2.331738,-484.63559889793396,-1.7545815,0.2912757396697998,0.016448259353637695,3.4293618,-255.5961770522869
-1.0594333,0.9161330557633353,-591.756179409464,0.005539417266845703,0.03353548049926758,0.91242576,1.3272897,3.7708094,3.935963,-3.935963,-1.3201557,10,-7.9986,0.20037618,-0.1538735330104828,0.043323516845703125,38,-1.3159277,-274.527804851532,12.482584953308105,55.145125482102245,-0.13272900879383087,0.0,-393.59626027420165,0.00892904307693243,-2.119623,-469.49917578697205,-1.8570209,0.275606632232666,0.021144524216651917,3.5362966,-244.14859989075717
-1.0475645,0.9099227284060861,-569.4333256406886,0.0057027339935302734,0.03431534767150879,0.9217597,1.3374678,3.809385,3.864124,-3.864124,-1.3261765,10,-7.8554244,0.19257322,-0.1541181057691574,0.043845176696777344,39,-1.4878242,-310.528440348804,12.776371240615845,31.05312009043697,-0.13374681770801544,0.0,-386.41239967867733,0.006736569572240114,-1.9051447,-435.79188418388367,-2.0419037,0.2849862575531006,0.020371288061141968,2.20967,-243.41968987899628
-1.0704596,0.9095877444230127,-601.7482761545285,0.0057446956634521484,0.03404545783996582,0.9238374,1.3397193,3.8179717,4.179671,-4.179671,-1.3280529,10,-8.503624,0.19494948,-0.15007923543453217,0.04676413536071777,40,-1.3808974,-291.86950997263193,13.06072187423706,64.35772909743402,-0.1339719444513321,0.0,-417.9670648910105,0.00848804134875536,-1.7906724,-495.0635406970978,-1.917951,0.2769606113433838,0.016107290983200073,3.2140896,-256.0007946982111
-1.0474195,0.8842518157432114,-582.1391092242724,0.006676673889160156,0.039093971252441406,0.9197043,1.3352355,3.800891,3.592513,-3.592513,-1.3076053,10,-7.4006004,0.21229038,-0.15024276077747345,0.05826830863952637,41,-1.0644577,-273.0065876841545,13.38433575630188,43.236181320065285,-0.13352355360984802,0.0,-359.2513097777963,0.006788991391658783,-1.7913191,-407.9953753128648,-1.5188355,0.31607866287231445,0.016719207167625427,3.2254174,-221.1649114567087
-1.0639731,0.9023302227974354,-556.9304605320883,0.0066301822662353516,0.03708195686340332,0.92133874,1.337011,3.8076453,3.6314297,-3.6314297,-1.3305907,10,-9.439427,0.19842581,-0.15191030502319336,0.04736948013305664,42,-1.0446312,-279.7716649621725,13.705371856689453,52.30233344860586,-0.13370108604431152,0.0,-363.1429743558168,0.006590245757251978,-2.175533,-471.6268916130066,-1.4761119,0.31250762939453125,0.018209218978881836,2.6653357,-229.87658084297618
-1.068432,0.8401951852606556,-579.0385759480301,0.00562596321105957,0.035285234451293945,0.92179304,1.337504,3.809523,3.9516764,-3.9516764,-1.3330694,10,-7.9211583,0.25678524,-0.1436663717031479,0.04400920867919922,43,-1.0466697,-249.72453241050243,14.004018306732178,68.49353800750414,-0.13375042378902435,0.0,-395.1676527455449,0.007485568523406982,-0.7826288,-501.16673946380615,-1.4713076,0.2890305519104004,0.009915947914123535,2.1450486,-233.54748197747122
