AbsLearnSignal,ItrTime,Time,MeanKL,Entropy,Iteration,LossAfter,NumTrajs,MaxReturn,ProcessExecTime,EnvExecTime,AveragePolicyStd,MinReturn,AverageReturn,LossBefore,PolicyExecTime,dLoss,StdReturn,Perplexity,AverageDiscountedReturn,ExplainedVariance,MeanKLBefore
0.7016131524,26.1349473,951.2767670155,0.007288737,2.9223917,29,-0.035207197,1,-587.7894096518,0.002269268,21.0220239162,1.0451741,-587.7894096518,-587.7894096518,-2.8610229E-08,0.1070709229,0.035207167,0,18.585686,-381.0229776365,-1.073186099,0
0.8553752315,39.4244329929,990.7424089909,0.007383202,2.9383373,30,-0.066248305,2,-412.2418146775,0.0033056736,34.1867108345,1.0534242,-823.5685608233,-617.9051877504,1.5685433E-08,0.15985322,0.06624832,205.6633730729,18.884422,-429.3964301765,0.6256525177,0
0.9524171953,25.946867466,1016.7309267521,0.008009231,2.948264,31,-0.05915519,1,-817.956279148,0.0021691322,20.7328255177,1.0580273,-817.956279148,-817.956279148,4.529953E-08,0.1082663536,0.059155233,0,19.072813,-517.4896334475,-0.0452792991,0
0.9464568538,39.2711825371,1056.0429980755,0.007597099,2.9346578,32,-0.089808375,2,-437.3127089499,0.0034451485,34.0876960754,1.050195,-905.9255946428,-671.6191517963,-3.1370867E-08,0.1616401672,0.089808345,234.3064428464,18.815063,-454.7018728372,-0.394296271,0
0.7014172351,25.8061547279,1081.8906867504,0.007418052,2.9046688,33,-0.04266751,1,-789.8405401683,0.0021028519,20.6811449528,1.0345316,-789.8405401683,-789.8405401683,4.7683717E-08,0.1001787186,0.04266756,0,18.259195,-496.6045887541,0.9048961996,0
0.787513003,26.2900645733,1108.2257905006,0.0075860326,2.887117,34,-0.045375824,1,-598.4717166147,0.0022954941,21.1787188053,1.0255316,-598.4717166147,-598.4717166147,0,0.1052389145,0.045375824,0,17.941507,-402.8793006282,0.9007127396,0
0.6766477081,37.1288735867,1145.3961069584,0.0069323373,2.8222392,35,-0.07535073,2,-288.3144267515,0.0030868053,31.9551744461,0.99365133,-554.8654764138,-421.5899515826,-3.5061556E-09,0.150780201,0.07535073,133.2755248312,16.814459,-302.5868495069,0.6233341187,0
0.8388795221,25.8253428936,1171.2640812397,0.0066509806,2.8170223,36,-0.065403394,1,-1015.0511869959,0.00213027,20.7037093639,0.9911223,-1015.0511869959,-1015.0511869959,-2.6226044E-08,0.1025695801,0.065403365,0,16.726969,-619.3985142215,0.5056730801,0
0.7952076561,32.1592226028,1203.4676024914,0.0067698727,2.8163834,37,-0.045193948,2,-362.6009759972,0.0023479462,26.8898711205,0.99077904,-388.3934337839,-375.4972048906,-1.3754918E-08,0.1139276028,0.045193933,12.8962288933,16.716284,-300.0341367073,0.8630014741,0
0.8814597525,26.3013732433,1229.8115155697,0.009538923,2.847132,38,-0.04451704,1,-850.4049119932,0.0021657944,21.1935408115,1.0081078,-850.4049119932,-850.4049119932,5.7220458E-08,0.103605032,0.044517096,0,17.238272,-527.4352853863,0.8868712917,0
0.7918335224,39.20454669,1269.0574514866,0.0034544957,2.8412657,39,-0.01951872,2,-385.5372087511,0.0033841133,33.9339408875,1.0047367,-1172.5994155119,-779.0683121314,-1.2631448E-08,0.1466200352,0.019518707,393.5311033804,17.137442,-507.5694742236,0.6863423865,0
